race_date,race_no,horse_no,horse_name,draw,weight,jockey,trainer,win_odds
2026-09-27,7,9,包裝天王,3,120,黃智弘 (-3),沈集成,22
2026-09-27,7,10,十二神將,1,119,巫顯東 (-2),蘇偉賢,67
2026-09-27,7,11,駿毅快車,7,120,希威森,姚本輝,65
2026-09-27,7,12,伶俐驫駒,10,118,田泰安,桂福特,48
2026-09-27,8,1,錶之銀河,8,135,田泰安,桂福特,4.8
2026-09-27,8,2,驕陽明駒,4,135,艾兆禮,蔡約翰,7.6
2026-09-27,8,3,白鷺金剛,1,127,霍宏聲,廖康銘,7.8
2026-09-27,8,4,手機錶霸,9,126,何澤堯,呂健威,14
2026-09-27,8,5,合夥奔馳,6,124,楊明綸,呂健威,19
2026-09-27,8,6,小鳥天堂,5,124,潘頓,丁冠豪,2.1
2026-09-27,8,7,紫荊盛勢,3,118,周俊樂,羅富全,22
2026-09-27,8,8,幸運有您,2,117,潘明輝,羅富全,23
2026-09-27,8,9,太陽勇士,7,117,班德禮,大衛希斯,14
