馬號,horse_name,檔位,負磅,騎師,練馬師,場次,比賽日期,賠率,total_races,avg_rank_last3,avg_rank_last5,win_rate,place_rate,win_rate_last10,days_since_last_run,races_last14days,races_last30days,last_race_date
10,志醒大將,6,124,艾兆禮,沈集成,4,2026-09-06,4.7,4.0,2.67,2.5,0.25,0.75,0.25,3.0,1.0,1.0,2026-09-06
11,知恩圖報,13,123,楊明綸,鄭俊偉,4,2026-09-06,14,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
12,上市魅力,3,121,田泰安,蘇偉賢,4,2026-09-06,28,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
13,快樂之友,10,121,蔡明紹,巫偉傑,4,2026-09-06,38,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
14,幸運同行,4,120,潘明輝,蔡約翰,4,2026-09-06,20,5.0,3.33,3.4,0.0,0.4,0.0,77.0,0.0,0.0,2026-06-24
1,鼓浪好友,1,135,田泰安,桂福特,5,2026-09-06,7.3,7.0,3.0,3.0,0.2857,0.8571,0.2857,67.0,0.0,0.0,2026-07-04
2,多威心得,5,132,班德禮,大衛希斯,5,2026-09-06,48,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
3,領駿先鋒,10,128,潘明輝,葉楚航,5,2026-09-06,7.2,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
4,震撼人心,4,128,布文,蔡約翰,5,2026-09-06,7.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
5,明德輝煌,13,128,袁幸堯 (-10),姚本輝,5,2026-09-06,6.7,3.0,2.67,2.67,0.0,0.6667,0.0,3.0,1.0,1.0,2026-09-06
6,昇龍戰駒,6,127,梁家俊,伍鵬志,5,2026-09-06,21,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
7,光年程祥,7,126,霍宏聲,游達榮,5,2026-09-06,6.7,6.0,2.33,2.6,0.1667,0.6667,0.1667,3.0,1.0,1.0,2026-09-06
8,歷勝,2,124,何澤堯,呂健威,5,2026-09-06,10,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,有盈勇士,14,122,鍾易禮 (-2),沈集成,5,2026-09-06,45,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
10,同喜,12,121,希威森,韋達,5,2026-09-06,17,6.0,2.0,2.6,0.1667,0.8333,0.1667,67.0,0.0,0.0,2026-07-04
11,焦點,9,120,艾兆禮,游達榮,5,2026-09-06,32,5.0,2.33,2.4,0.4,0.6,0.4,63.0,0.0,0.0,2026-07-08
12,花果猴王,8,118,潘頓,告東尼,5,2026-09-06,12,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
13,戀愛狂,11,123,巴度,葉楚航,5,2026-09-06,19,3.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,2026-09-06
14,良駒好友,3,116,黃寶妮 (-7),文家良,5,2026-09-06,10,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
1,辣得準,13,135,艾兆禮,蔡約翰,6,2026-09-06,11,3.0,2.0,2.0,0.3333,1.0,0.3333,3.0,1.0,1.0,2026-09-06
2,哈羅威,4,131,布文,呂健威,6,2026-09-06,3.7,5.0,3.0,3.2,0.0,0.6,0.0,59.0,0.0,0.0,2026-07-12
3,馬馳登,2,131,潘頓,黎昭昇,6,2026-09-06,6.9,4.0,2.67,3.0,0.0,0.5,0.0,3.0,1.0,1.0,2026-09-06
4,嘉應駿馬,7,129,田泰安,大衛希斯,6,2026-09-06,8.4,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
5,自力更生,1,129,奧爾民,鄭俊偉,6,2026-09-06,12,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
6,火流星,11,127,潘明輝,葉楚航,6,2026-09-06,30,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
7,老鼠斑,10,127,黃智弘 (-3),沈集成,6,2026-09-06,6.0,3.0,2.33,2.33,0.0,1.0,0.0,67.0,0.0,0.0,2026-07-04
8,開心五月,8,122,鍾易禮 (-2),告東尼,6,2026-09-06,15,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,天寶威威,6,121,楊明綸,徐雨石,6,2026-09-06,37,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
10,鑽飾閃耀,12,119,希威森,廖康銘,6,2026-09-06,47,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
11,金津寶駒,5,119,黃寶妮 (-7),文家良,6,2026-09-06,28,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
12,凱旋王者,9,118,梁家俊,羅富全,6,2026-09-06,8.4,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
13,首駿,14,117,巴度,游達榮,6,2026-09-06,59,7.0,3.0,2.4,0.2857,0.7143,0.2857,98.0,0.0,0.0,2026-06-03
14,金多囍,3,116,班德禮,伍鵬志,6,2026-09-06,31,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
1,太陽勇士,9,135,袁幸堯 (-10),大衛希斯,7,2026-09-06,9.4,6.0,2.33,2.0,0.3333,0.8333,0.3333,59.0,0.0,0.0,2026-07-12
2,笑傲江湖,1,133,何澤堯,呂健威,7,2026-09-06,13,3.0,2.0,2.0,0.3333,1.0,0.3333,185.0,0.0,0.0,2026-03-08
3,時時歡聲,4,133,潘頓,告東尼,7,2026-09-06,2.3,4.0,1.33,1.25,0.75,1.0,0.75,136.0,0.0,0.0,2026-04-26
4,韋金主,6,128,田泰安,韋達,7,2026-09-06,6.4,8.0,2.33,2.4,0.25,0.75,0.25,80.0,0.0,0.0,2026-06-21
5,勁沙塵,3,123,巴度,廖康銘,7,2026-09-06,12,7.0,3.33,2.8,0.2857,0.7143,0.2857,3.0,1.0,1.0,2026-09-06
6,昇瀧駒,8,119,蔡明紹,蘇偉賢,7,2026-09-06,46,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
7,樂勝天下,7,117,潘明輝,姚本輝,7,2026-09-06,28,5.0,1.67,1.6,0.4,1.0,0.4,3.0,1.0,1.0,2026-09-06
8,飛鷹翱翔,2,116,鍾易禮 (-2),伍鵬志,7,2026-09-06,5.5,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,晒冷,5,116,艾兆禮,廖康銘,7,2026-09-06,8.4,4.0,2.33,2.0,0.25,1.0,0.25,3.0,1.0,1.0,2026-09-06
1,喜悅歡欣,5,135,布文,廖康銘,8,2026-09-06,3.9,3.0,1.67,1.67,0.6667,1.0,0.6667,3.0,1.0,1.0,2026-09-06
2,八仟好運,13,135,艾兆禮,蔡約翰,8,2026-09-06,13,7.0,1.67,2.0,0.2857,0.8571,0.2857,3.0,1.0,1.0,2026-09-06
3,不同世界,6,134,田泰安,葉楚航,8,2026-09-06,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
4,心雄雄,2,132,潘頓,大衛希斯,8,2026-09-06,5.8,3.0,1.67,1.67,0.6667,1.0,0.6667,123.0,0.0,0.0,2026-05-09
5,威武年代,12,131,霍宏聲,呂健威,8,2026-09-06,31,3.0,2.0,2.0,0.3333,1.0,0.3333,202.0,0.0,0.0,2026-02-19
6,手機錶能,10,130,何澤堯,文家良,8,2026-09-06,5.9,3.0,2.67,2.67,0.3333,0.6667,0.3333,3.0,1.0,1.0,2026-09-06
7,錶之翠河,8,126,梁家俊,伍鵬志,8,2026-09-06,15,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
8,實力加,11,124,奧爾民,賀賢,8,2026-09-06,12,5.0,2.67,2.8,0.0,1.0,0.0,3.0,1.0,1.0,2026-09-06
9,金運齊來,7,121,黃寶妮 (-7),文家良,8,2026-09-06,13,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
10,金創福威,1,121,楊明綸,黎昭昇,8,2026-09-06,15,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
11,大勇勝,9,120,希威森,沈集成,8,2026-09-06,37,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
12,久久為軍,14,117,鍾易禮 (-2),告東尼,8,2026-09-06,24,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
13,堅多福,4,116,巴度,方嘉柏,8,2026-09-06,52,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
14,加州星皓,3,115,蔡明紹,巫偉傑,8,2026-09-06,17,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
1,一生好彩,6,135,布文,廖康銘,9,2026-09-06,8.5,6.0,2.33,2.4,0.5,0.6667,0.5,59.0,0.0,0.0,2026-07-12
2,超勁赤兔,7,133,潘明輝,羅富全,9,2026-09-06,16,6.0,2.33,2.4,0.1667,1.0,0.1667,88.0,0.0,0.0,2026-06-13
3,展雄志,11,132,艾道拿,大衛希斯,9,2026-09-06,27,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
4,友瑩仁,2,131,艾兆禮,伍鵬志,9,2026-09-06,6.5,7.0,2.33,2.4,0.4286,0.7143,0.4286,3.0,1.0,1.0,2026-09-06
5,櫻花酒杯,1,131,何澤堯,呂健威,9,2026-09-06,3.0,7.0,2.0,2.0,0.5714,0.8571,0.5714,3.0,1.0,1.0,2026-09-06
6,綫路英雄,10,129,潘頓,沈集成,9,2026-09-06,4.7,5.0,2.33,2.0,0.4,1.0,0.4,74.0,0.0,0.0,2026-06-27
7,同樣美麗,8,128,鍾易禮 (-2),告東尼,9,2026-09-06,22,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
8,非凡豪傑,4,123,班德禮,巫偉傑,9,2026-09-06,9.9,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,元朗精英,5,123,楊明綸,文家良,9,2026-09-06,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
