馬號,horse_name,檔位,負磅,騎師,練馬師,場次,比賽日期,賠率,total_races,avg_rank_last3,avg_rank_last5,win_rate,place_rate,win_rate_last10,days_since_last_run,races_last14days,races_last30days,last_race_date
2026-09-09,6,4,升升雙息,7,130,潘明輝,沈集成,24,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,5,佐治傳奇,10,130,艾兆禮,告東尼,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,6,福進,3,130,何澤堯,方嘉柏,7.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,7,巨靈神,4,128,巫顯東 (-2),徐雨石,26,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,8,天火同人,5,127,黃寶妮 (-7),韋達,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,9,瑤瑤日上,11,125,巴度,甘敏斯,7.8,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,10,幸運二十,8,125,奧爾民,丁冠豪,39,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,11,天外富天,9,120,班德禮,大衛希斯,16,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,12,精算奕然,1,120,希威森,鄭俊偉,21,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,1,官金騏,2,135,潘頓,廖康銘,3.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,2,博愛先鋒,11,132,梁家俊,巫偉傑,14,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,3,合夥飛馳,12,131,何澤堯,呂健威,32,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,4,應龍飛影,6,130,袁幸堯 (-10),伍鵬志,6.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,5,贏得威楓,8,129,艾兆禮,桂福特,37,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,6,至合拍,10,129,周俊樂 (-2),沈集成,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,7,寶成智好,7,128,鍾易禮 (-2),告東尼,8.6,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,8,勝多多,3,124,希威森,韋達,16,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,9,奇異歡星,1,123,黃智弘 (-3),方嘉柏,18,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,10,龍威心得,9,122,班德禮,大衛希斯,18,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,11,比特星,5,120,黃寶妮 (-7),賀賢,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,7,12,領袖勁力,4,118,田泰安,徐雨石,7.6,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,1,志滿同行,12,135,潘頓,文家良,18,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,2,人和家興,11,134,袁幸堯 (-10),大衛希斯,4.2,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,3,馬達,9,133,田泰安,巫偉傑,8.3,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,4,財將,7,132,鍾易禮 (-2),告東尼,3.9,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,5,北地烈馬,6,126,黃寶妮 (-7),葉楚航,25,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,6,電源之駒,4,126,巴度,廖康銘,16,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,7,安康萬里,2,124,周俊樂 (-2),呂健威,19,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,8,關鍵所在,1,124,黃智弘 (-3),沈集成,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,9,勇霸龍,8,124,艾道拿,黎昭昇,18,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,10,正本唐心,3,122,艾兆禮,方嘉柏,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,11,長勝隊長,5,119,何澤堯,伍鵬志,7.7,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,8,12,十二神將,10,119,班德禮,蘇偉賢,29,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
